,visit_id,name,num_nodes,num_edges,nodes_div_by_edges,edges_div_by_nodes,in_degree,out_degree,in_out_degree,ancestors,descendants,closeness_centrality,average_degree_connectivity,eccentricity,is_parent_script,is_ancestor_script,ascendant_has_ad_keyword,is_eval_or_function,descendant_of_eval_or_function,ascendant_script_has_eval_or_function,ascendant_script_has_fp_keyword,ascendant_script_length,num_get_storage,num_set_storage,num_get_cookie,num_set_cookie,num_script_predecessors,num_script_successors,num_requests_sent,num_requests_received,num_redirects_sent,num_redirects_rec,max_depth_redirect,indirect_in_degree,indirect_out_degree,indirect_ancestors,indirect_descendants,indirect_closeness_centrality,indirect_average_degree_connectivity,indirect_eccentricity,indirect_mean_in_weights,indirect_min_in_weights,indirect_max_in_weights,indirect_mean_out_weights,indirect_min_out_weights,indirect_max_out_weights,num_set_get_src,num_set_mod_src,num_set_url_src,num_get_url_src,num_set_get_dst,num_set_mod_dst,num_set_url_dst,num_get_url_dst,indirect_all_in_degree,indirect_all_out_degree,indirect_all_ancestors,indirect_all_descendants,indirect_all_closeness_centrality,indirect_all_average_degree_connectivity,indirect_all_eccentricity,content_policy_type,url_length,is_subdomain,is_valid_qs,is_third_party,base_domain_in_query,semicolon_in_query,screen_size_present,ad_size_present,ad_size_in_qs_present,keyword_raw_present,keyword_char_present
0,3063639692373196,https://www.youtube.com/iframe_api,312,628,0.4968152866242038,2.0128205128205128,2,4,6,3,5,0.0072347266881028945,18.833333333333332,-1,0,1,1,0,0,1,1,415287,0,3,0,3,0,0,0,1,0,0,0,1,1,24,1,0.08570153251004314,1.0,3,2.0,2.0,2.0,2.0,2.0,2.0,1,0,0,0,0,0,1,0,3,3,30,5,0.045217041800643086,1.625,-1,script,34,0,1,1,0,0,0,0,0,1,1
0,3063639692373196,https://munchkin.marketo.net/munchkin.js,312,628,0.4968152866242038,2.0128205128205128,2,2,4,2,23,0.006430868167202572,2.7708333333333335,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,24,0,0.08570153251004314,0.0,3,2.0,2.0,2.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,1,0,3,3,28,308,0.04583455130078924,0.6,-1,script,40,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://js.adsrvr.org/universal_pixel.1.1.0.js,312,628,0.4968152866242038,2.0128205128205128,1,5,6,1,5,0.003215434083601286,18.833333333333332,-1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,6,6,30,0,0.11655011655011656,0.0,3,1.8333333333333333,1.0,2.0,-1.0,-1.0,-1.0,0,0,0,0,5,0,1,0,7,7,54,5,0.061282390769812754,1.4166666666666667,-1,script,46,0,1,1,0,0,0,0,0,1,1
0,3063639692373196,https://munchkin.marketo.net/163/munchkin.js,312,628,0.4968152866242038,2.0128205128205128,2,20,22,4,20,0.007349563619660082,11.090909090909092,-1,0,1,0,0,0,1,0,1251,50,1,49,1,0,0,0,1,0,0,0,24,24,23,143,0.16083916083916083,11.547169811320755,2,2.96,1.0,9.0,1.036144578313253,1.0,2.0,3,0,80,0,24,0,1,0,26,26,28,308,0.07877813504823152,16.0078125,-1,script,44,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://static.ads-twitter.com/uwt.js,312,628,0.4968152866242038,2.0128205128205128,2,5,7,3,5,0.0072347266881028945,6.1098901098901095,-1,0,1,1,0,0,1,1,415287,5,0,5,0,0,0,0,1,0,0,0,21,21,24,0,0.14918414918414918,0.0,3,2.909090909090909,2.0,3.0,-1.0,-1.0,-1.0,0,0,0,0,21,0,1,0,23,23,30,5,0.06577024261911721,5.357142857142857,-1,script,37,0,1,1,0,0,0,0,0,1,1
0,3063639692373196,https://connect.facebook.net/signals/config/106545146754656?v=2.9.138&r=stable&domain=www.synopsys.com,312,628,0.4968152866242038,2.0128205128205128,2,2,4,5,2,0.007307804735457468,2.7708333333333335,-1,0,1,1,0,0,1,1,415287,2,2,0,0,0,0,0,1,0,0,0,4,4,24,0,0.08951048951048951,1.0,3,2.5,2.0,4.0,2.0,2.0,2.0,1,0,0,0,1,0,3,0,6,6,32,2,0.05144694533762058,1.2222222222222223,-1,script,102,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://synopsys.demdex.net/dest5.html?d_nsid=0#https%3A%2F%2Fwww.synopsys.com,312,628,0.4968152866242038,2.0128205128205128,2,3,5,3,3,0.0072347266881028945,20.46086956521739,-1,0,1,1,0,0,1,1,415287,7,4,7,4,0,0,0,1,0,0,0,12,12,36,13,0.14857273873667318,7.8,3,1.3846153846153846,1.0,4.0,1.0,1.0,1.0,8,1,2,0,9,1,3,0,14,14,53,42,0.08211049400760011,8.16,-1,sub_frame,78,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://assets.adobedtm.com/79b3942b8dfa/59af1e6a08aa/ebbfdbdecab5/RC288c6fd821d74451bd49415f8113bd5f-source.min.js,312,628,0.4968152866242038,2.0128205128205128,2,0,2,3,0,0.0072347266881028945,1.7166666666666666,-1,0,1,1,0,0,1,1,415287,0,0,0,0,0,0,0,1,0,0,0,1,1,24,0,0.08570153251004314,0.0,3,4.0,4.0,4.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,1,0,3,3,30,0,0.045217041800643086,0.0,-1,script,115,0,1,1,0,0,0,0,0,1,1
0,3063639692373196,https://assets.adobedtm.com/79b3942b8dfa/59af1e6a08aa/ebbfdbdecab5/RC199d047109614fca8d7cbc69957a6d9d-source.min.js,312,628,0.4968152866242038,2.0128205128205128,2,0,2,3,0,0.0072347266881028945,1.7166666666666666,-1,0,1,1,0,0,1,1,415287,0,0,0,0,0,0,0,1,0,0,0,1,1,24,0,0.08570153251004314,0.0,3,4.0,4.0,4.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,1,0,3,3,30,0,0.045217041800643086,0.0,-1,script,115,0,1,1,0,0,0,0,0,1,1
0,3063639692373196,https://static.cloud.coveo.com/atomic/v2/atomic.esm.js,312,628,0.4968152866242038,2.0128205128205128,2,0,2,3,0,0.0072347266881028945,1.7166666666666666,-1,0,1,1,0,0,1,1,335594,0,0,0,0,0,0,0,1,0,0,0,1,1,24,0,0.08570153251004314,0.0,3,2.0,2.0,2.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,1,0,3,3,31,0,0.04681866900516419,0.0,-1,script,54,0,1,1,0,0,0,0,0,0,0
